val:Hole Distance in cm,2.0,0
tab:MetalSheetFallData,
Hole Count,Time t in s
1,0
2,0.065432
3,0.091982
4,0.111518
5,0.12969
6,0.143496
7,0.156738
8,0.169547
9,0.181173
10,0.192627
11,0.202432
12,0.212264
13,0.22212
14,0.230675
15,0.238497
,
