tab:AngleData
angle,cosAngle,voltage
0	,1	,		1.247
5,	0.996195,	1.247
10,	0.984808,	1.232
15,	0.965926,	1.192
20,	0.939693,	1.143
25,	0.906308,	1.089
30,	0.866025,	1.020
35,	0.819152,	0.936
40,	0.766044,	0.852
45,	0.707107,	0.773
50,	0.642788,	0.696
