tab:10secMeasurement
garbage,shit,counts,time,trash,crap,piss
2,28534,14,10000000,65,128,0
2,28687,7,10000000,65,128,0
2,28840,7,10000000,65,128,0
2,28992,14,10000000,65,128,0
2,29145,13,10000000,65,128,0
2,29297,10,10000000,65,128,0
2,29450,11,10000000,65,128,0
2,29603,9,10000000,65,128,0
2,29755,7,10000000,65,128,0
2,29908,5,10000000,65,128,0
2,30060,5,10000000,65,128,0
2,30213,13,10000000,65,128,0
2,30365,12,10000000,65,128,0
2,30518,17,10000000,65,128,0
2,30671,18,10000000,65,128,0
2,30823,7,10000000,65,128,0
2,30976,10,10000000,65,128,0
2,31128,7,10000000,65,128,0
2,31281,12,10000000,65,128,0
2,31434,16,10000000,65,128,0
2,31586,9,10000000,65,128,0
2,31739,18,10000000,65,128,0
2,31891,15,10000000,65,128,0
2,32044,15,10000000,65,128,0
2,32197,7,10000000,65,128,0
2,32349,7,10000000,65,128,0
2,32502,19,10000000,65,128,0
2,32654,12,10000000,65,128,0
2,32807,14,10000000,65,128,0
2,32959,8,10000000,65,128,0
2,33112,7,10000000,65,128,0
2,33265,9,10000000,65,128,0
2,33417,8,10000000,65,128,0
2,33570,12,10000000,65,128,0
2,33722,8,10000000,65,128,0
2,33875,12,10000000,65,128,0
2,34028,9,10000000,65,128,0
2,34180,13,10000000,65,128,0
2,34333,16,10000000,65,128,0
2,34485,15,10000000,65,128,0
2,34638,15,10000000,65,128,0
2,34791,5,10000000,65,128,0
2,34943,9,10000000,65,128,0
2,35096,10,10000000,65,128,0
2,35248,15,10000000,65,128,0
2,35401,15,10000000,65,128,0
2,35553,10,10000000,65,128,0
2,35706,10,10000000,65,128,0
2,35859,11,10000000,65,128,0
2,36011,12,10000000,65,128,0
2,36164,17,10000000,65,128,0
2,36316,7,10000000,65,128,0
2,36469,15,10000000,65,128,0
2,36622,16,10000000,65,128,0
2,36774,8,10000000,65,128,0
2,36927,14,10000000,65,128,0
2,37079,12,10000000,65,128,0
2,37232,14,10000000,65,128,0
2,37385,8,10000000,65,128,0
2,37537,13,10000000,65,128,0
2,37690,12,10000000,65,128,0
2,37842,12,10000000,65,128,0
2,37995,14,10000000,65,128,0
2,38147,11,10000000,65,128,0
2,38300,13,10000000,65,128,0
2,38453,8,10000000,65,128,0
2,38605,15,10000000,65,128,0
2,38758,10,10000000,65,128,0
2,38910,11,10000000,65,128,0
2,39063,9,10000000,65,128,0
2,39216,15,10000000,65,128,0
2,39368,15,10000000,65,128,0
2,39521,12,10000000,65,128,0
2,39673,12,10000000,65,128,0
2,39826,9,10000000,65,128,0
2,39979,8,10000000,65,128,0
2,40131,10,10000000,65,128,0
2,40284,12,10000000,65,128,0
2,40436,10,10000000,65,128,0
2,40589,9,10000000,65,128,0
2,40741,10,10000000,65,128,0
2,40894,12,10000000,65,128,0
2,41047,17,10000000,65,128,0
2,41199,12,10000000,65,128,0
2,41352,17,10000000,65,128,0
2,41504,16,10000000,65,128,0
2,41657,5,10000000,65,128,0
2,41810,18,10000000,65,128,0
2,41962,8,10000000,65,128,0
2,42115,12,10000000,65,128,0
2,42267,9,10000000,65,128,0
2,42420,11,10000000,65,128,0
2,42573,8,10000000,65,128,0
2,42725,13,10000000,65,128,0
2,42878,12,10000000,65,128,0
2,43030,9,10000000,65,128,0
2,43183,17,10000000,65,128,0
2,43335,17,10000000,65,128,0
2,43488,17,10000000,65,128,0
2,43641,10,10000000,65,128,0
2,43793,15,10000000,65,128,0
2,43946,10,10000000,65,128,0
2,44098,13,10000000,65,128,0
2,44251,9,10000000,65,128,0
2,44404,12,10000000,65,128,0
2,44556,17,10000000,65,128,0
2,44709,10,10000000,65,128,0
2,44861,7,10000000,65,128,0
2,45014,7,10000000,65,128,0
2,45167,8,10000000,65,128,0
2,45319,7,10000000,65,128,0
2,45472,12,10000000,65,128,0
2,45624,10,10000000,65,128,0
2,45777,14,10000000,65,128,0
2,45929,9,10000000,65,128,0
2,46082,14,10000000,65,128,0
2,46235,7,10000000,65,128,0
2,46387,10,10000000,65,128,0
2,46540,10,10000000,65,128,0
2,46692,10,10000000,65,128,0
2,46845,13,10000000,65,128,0
2,46998,16,10000000,65,128,0
2,47150,15,10000000,65,128,0
2,47303,13,10000000,65,128,0
2,47455,11,10000000,65,128,0
2,47608,12,10000000,65,128,0
2,47761,18,10000000,65,128,0
2,47913,9,10000000,65,128,0
2,48066,12,10000000,65,128,0
2,48218,11,10000000,65,128,0
2,48371,11,10000000,65,128,0
2,48523,13,10000000,65,128,0
2,48676,14,10000000,65,128,0
2,48829,8,10000000,65,128,0
2,48981,12,10000000,65,128,0
2,49134,12,10000000,65,128,0
2,49286,14,10000000,65,128,0
2,49439,10,10000000,65,128,0
2,49592,11,10000000,65,128,0
2,49744,12,10000000,65,128,0
2,49897,11,10000000,65,128,0
2,50049,8,10000000,65,128,0
2,50202,10,10000000,65,128,0
2,50354,12,10000000,65,128,0
2,50507,16,10000000,65,128,0
2,50660,13,10000000,65,128,0
2,50812,10,10000000,65,128,0
2,50965,7,10000000,65,128,0
2,51117,7,10000000,65,128,0
2,51270,9,10000000,65,128,0
2,51423,9,10000000,65,128,0
2,51575,14,10000000,65,128,0
2,51728,15,10000000,65,128,0
2,51880,16,10000000,65,128,0
2,52033,7,10000000,65,128,0
2,52186,11,10000000,65,128,0
2,52338,13,10000000,65,128,0
2,52491,6,10000000,65,128,0
2,52643,5,10000000,65,128,0
2,52796,15,10000000,65,128,0
2,52948,12,10000000,65,128,0
2,53101,13,10000000,65,128,0
2,53254,16,10000000,65,128,0
2,53406,14,10000000,65,128,0
2,53559,9,10000000,65,128,0
2,53711,14,10000000,65,128,0
2,53864,17,10000000,65,128,0
2,54017,13,10000000,65,128,0
2,54169,8,10000000,65,128,0
2,54322,10,10000000,65,128,0
2,54474,11,10000000,65,128,0
2,54627,9,10000000,65,128,0
2,54780,8,10000000,65,128,0
2,54932,11,10000000,65,128,0
2,55085,10,10000000,65,128,0
2,55237,16,10000000,65,128,0
2,55390,9,10000000,65,128,0
2,55542,14,10000000,65,128,0
2,55695,8,10000000,65,128,0
2,55848,10,10000000,65,128,0
2,56000,15,10000000,65,128,0
2,56153,13,10000000,65,128,0
2,56305,9,10000000,65,128,0
2,56458,8,10000000,65,128,0
2,56611,7,10000000,65,128,0
2,56763,11,10000000,65,128,0
2,56916,9,10000000,65,128,0
2,57068,15,10000000,65,128,0
2,57221,11,10000000,65,128,0
2,57374,9,10000000,65,128,0
2,57526,6,10000000,65,128,0
2,57679,17,10000000,65,128,0
2,57831,4,10000000,65,128,0
2,57984,12,10000000,65,128,0
2,58136,13,10000000,65,128,0
2,58289,14,10000000,65,128,0
2,58442,12,10000000,65,128,0
2,58594,12,10000000,65,128,0
2,58747,7,10000000,65,128,0
2,58899,13,10000000,65,128,0
2,59052,15,10000000,65,128,0
2,59205,10,10000000,65,128,0
2,59357,12,10000000,65,128,0
2,59510,8,10000000,65,128,0
2,59662,11,10000000,65,128,0
2,59815,8,10000000,65,128,0
2,59968,17,10000000,65,128,0
2,60120,9,10000000,65,128,0
2,60273,8,10000000,65,128,0
2,60425,7,10000000,65,128,0
2,60578,13,10000000,65,128,0
2,60730,13,10000000,65,128,0
2,60883,20,10000000,65,128,0
2,61036,12,10000000,65,128,0
2,61188,13,10000000,65,128,0
2,61341,6,10000000,65,128,0
2,61493,7,10000000,65,128,0
2,61646,3,10000000,65,128,0
2,61799,12,10000000,65,128,0
2,61951,7,10000000,65,128,0
2,62104,15,10000000,65,128,0
2,62256,11,10000000,65,128,0
2,62409,9,10000000,65,128,0
2,62562,11,10000000,65,128,0
2,62714,16,10000000,65,128,0
2,62867,4,10000000,65,128,0
2,63019,11,10000000,65,128,0
2,63172,5,10000000,65,128,0
2,63324,12,10000000,65,128,0
2,63477,12,10000000,65,128,0
2,63630,10,10000000,65,128,0
2,63782,10,10000000,65,128,0
2,63935,17,10000000,65,128,0
2,64087,10,10000000,65,128,0
2,64240,6,10000000,65,128,0
2,64393,12,10000000,65,128,0
2,64545,9,10000000,65,128,0
2,64698,13,10000000,65,128,0
2,64850,14,10000000,65,128,0
2,65003,10,10000000,65,128,0
2,65156,11,10000000,65,128,0
2,65308,12,10000000,65,128,0
2,65461,4,10000000,65,128,0
2,65613,10,10000000,65,128,0
2,65766,11,10000000,65,128,0
2,65918,17,10000000,65,128,0
2,66071,6,10000000,65,128,0
2,66224,11,10000000,65,128,0
2,66376,9,10000000,65,128,0
2,66529,10,10000000,65,128,0
2,66681,7,10000000,65,128,0
2,66834,18,10000000,65,128,0
2,66987,8,10000000,65,128,0
2,67139,9,10000000,65,128,0
2,67292,5,10000000,65,128,0
2,67444,5,10000000,65,128,0
2,67597,7,10000000,65,128,0
2,67749,10,10000000,65,128,0
2,67902,16,10000000,65,128,0
2,68055,12,10000000,65,128,0
2,68207,13,10000000,65,128,0
2,68360,9,10000000,65,128,0
2,68512,13,10000000,65,128,0
2,68665,7,10000000,65,128,0
2,68818,13,10000000,65,128,0
2,68970,12,10000000,65,128,0
2,69123,10,10000000,65,128,0
2,69275,11,10000000,65,128,0
2,69428,12,10000000,65,128,0
2,69581,15,10000000,65,128,0
2,69733,10,10000000,65,128,0
2,69886,12,10000000,65,128,0
2,70038,8,10000000,65,128,0
2,70191,8,10000000,65,128,0
2,70344,14,10000000,65,128,0
2,70496,18,10000000,65,128,0
2,70649,8,10000000,65,128,0
2,70801,17,10000000,65,128,0
2,70954,8,10000000,65,128,0
2,71106,11,10000000,65,128,0
2,71259,8,10000000,65,128,0
2,71412,17,10000000,65,128,0
2,71564,12,10000000,65,128,0
2,71717,11,10000000,65,128,0
2,71869,9,10000000,65,128,0
2,72022,8,10000000,65,128,0
2,72175,8,10000000,65,128,0
2,72327,12,10000000,65,128,0
2,72480,11,10000000,65,128,0
2,72632,2,10000000,65,128,0
2,72785,11,10000000,65,128,0
2,72938,8,10000000,65,128,0
2,73090,8,10000000,65,128,0
2,73243,10,10000000,65,128,0
2,73395,5,10000000,65,128,0
2,73548,6,10000000,65,128,0
2,73700,10,10000000,65,128,0
2,73853,14,10000000,65,128,0
2,74006,8,10000000,65,128,0
2,74158,9,10000000,65,128,0
2,74311,13,10000000,65,128,0
2,74463,13,10000000,65,128,0
2,74616,10,10000000,65,128,0
2,74769,9,10000000,65,128,0
2,74921,13,10000000,65,128,0
2,75074,12,10000000,65,128,0
2,75226,11,10000000,65,128,0
2,75379,10,10000000,65,128,0
2,75532,10,10000000,65,128,0
2,75684,14,10000000,65,128,0
2,75837,7,10000000,65,128,0
2,75989,13,10000000,65,128,0
2,76142,16,10000000,65,128,0
2,76294,11,10000000,65,128,0
2,76447,11,10000000,65,128,0
2,76600,11,10000000,65,128,0
2,76752,13,10000000,65,128,0
2,76905,10,10000000,65,128,0
2,77057,11,10000000,65,128,0
2,77210,10,10000000,65,128,0
2,77363,14,10000000,65,128,0
2,77515,10,10000000,65,128,0
2,77668,13,10000000,65,128,0
2,77820,10,10000000,65,128,0
2,77973,10,10000000,65,128,0
2,78125,6,10000000,65,128,0
2,78278,9,10000000,65,128,0
2,78431,9,10000000,65,128,0
2,78583,16,10000000,65,128,0
2,78736,12,10000000,65,128,0
2,78888,17,10000000,65,128,0
2,79041,9,10000000,65,128,0
2,79194,13,10000000,65,128,0
2,79346,12,10000000,65,128,0
2,79499,7,10000000,65,128,0
2,79651,17,10000000,65,128,0
2,79804,11,10000000,65,128,0
2,79957,15,10000000,65,128,0
2,80109,11,10000000,65,128,0
2,80262,15,10000000,65,128,0
2,80414,9,10000000,65,128,0
2,80567,12,10000000,65,128,0
2,80719,12,10000000,65,128,0
2,80872,10,10000000,65,128,0
2,81025,15,10000000,65,128,0
2,81177,16,10000000,65,128,0
2,81330,7,10000000,65,128,0
2,81482,9,10000000,65,128,0
2,81635,12,10000000,65,128,0
2,81788,14,10000000,65,128,0
2,81940,9,10000000,65,128,0
2,82093,10,10000000,65,128,0
2,82245,8,10000000,65,128,0
2,82398,12,10000000,65,128,0
2,82551,10,10000000,65,128,0
2,82703,10,10000000,65,128,0
2,82856,13,10000000,65,128,0
2,83008,11,10000000,65,128,0
2,83161,12,10000000,65,128,0
2,83313,12,10000000,65,128,0
2,83466,17,10000000,65,128,0
2,83619,10,10000000,65,128,0
2,83771,13,10000000,65,128,0
2,83924,12,10000000,65,128,0
2,84076,6,10000000,65,128,0
2,84229,6,10000000,65,128,0
2,84382,9,10000000,65,128,0
2,84534,15,10000000,65,128,0
2,84687,16,10000000,65,128,0
2,84839,7,10000000,65,128,0
2,84992,11,10000000,65,128,0
2,85145,15,10000000,65,128,0
2,85297,9,10000000,65,128,0
2,85450,13,10000000,65,128,0
2,85602,8,10000000,65,128,0
2,85755,18,10000000,65,128,0
2,85907,8,10000000,65,128,0
2,86060,10,10000000,65,128,0
2,86213,9,10000000,65,128,0
2,86365,21,10000000,65,128,0
2,86518,14,10000000,65,128,0
2,86670,11,10000000,65,128,0
2,86823,12,10000000,65,128,0
2,86976,10,10000000,65,128,0
2,87128,9,10000000,65,128,0
2,87281,7,10000000,65,128,0
2,87433,10,10000000,65,128,0
2,87586,19,10000000,65,128,0
2,87739,11,10000000,65,128,0
2,87891,15,10000000,65,128,0
2,88044,12,10000000,65,128,0
2,88196,10,10000000,65,128,0
2,88349,9,10000000,65,128,0
2,88501,6,10000000,65,128,0
2,88654,13,10000000,65,128,0
2,88807,13,10000000,65,128,0
2,88959,7,10000000,65,128,0
2,89112,12,10000000,65,128,0
2,89264,14,10000000,65,128,0
2,89417,12,10000000,65,128,0
2,89570,12,10000000,65,128,0
2,89722,15,10000000,65,128,0
2,89875,10,10000000,65,128,0
2,90027,16,10000000,65,128,0
2,90180,13,10000000,65,128,0
2,90333,18,10000000,65,128,0
2,90485,11,10000000,65,128,0
2,90638,12,10000000,65,128,0
2,90790,16,10000000,65,128,0
2,90943,13,10000000,65,128,0
2,91095,13,10000000,65,128,0
2,91248,13,10000000,65,128,0
2,91401,11,10000000,65,128,0
2,91553,9,10000000,65,128,0
2,91706,12,10000000,65,128,0
2,91858,4,10000000,65,128,0
2,92011,11,10000000,65,128,0
2,92164,7,10000000,65,128,0
2,92316,13,10000000,65,128,0
2,92469,9,10000000,65,128,0
2,92621,14,10000000,65,128,0
2,92774,11,10000000,65,128,0
2,92927,13,10000000,65,128,0
2,93079,12,10000000,65,128,0
2,93232,12,10000000,65,128,0
2,93384,13,10000000,65,128,0
2,93537,11,10000000,65,128,0
2,93689,6,10000000,65,128,0
2,93842,15,10000000,65,128,0
2,93995,8,10000000,65,128,0
2,94147,14,10000000,65,128,0
2,94300,24,10000000,65,128,0
2,94452,7,10000000,65,128,0
2,94605,6,10000000,65,128,0
2,94758,8,10000000,65,128,0
2,94910,11,10000000,65,128,0
2,95063,18,10000000,65,128,0
2,95215,10,10000000,65,128,0
2,95368,13,10000000,65,128,0
2,95521,15,10000000,65,128,0
2,95673,14,10000000,65,128,0
2,95826,9,10000000,65,128,0
2,95978,10,10000000,65,128,0
2,96131,20,10000000,65,128,0
2,96283,15,10000000,65,128,0
2,96436,7,10000000,65,128,0
2,96589,9,10000000,65,128,0
2,96741,9,10000000,65,128,0
2,96894,13,10000000,65,128,0
2,97046,13,10000000,65,128,0
2,97199,13,10000000,65,128,0
2,97352,11,10000000,65,128,0
2,97504,10,10000000,65,128,0
2,97657,16,10000000,65,128,0
2,97809,5,10000000,65,128,0
2,97962,8,10000000,65,128,0
2,98115,12,10000000,65,128,0
2,98267,15,10000000,65,128,0
2,98420,14,10000000,65,128,0
2,98572,10,10000000,65,128,0
2,98725,9,10000000,65,128,0
2,98877,16,10000000,65,128,0
2,99030,13,10000000,65,128,0
2,99183,12,10000000,65,128,0
2,99335,8,10000000,65,128,0
2,99488,12,10000000,65,128,0
2,99640,13,10000000,65,128,0
2,99793,9,10000000,65,128,0
2,99946,13,10000000,65,128,0
2,100098,11,10000000,65,128,0
2,100251,10,10000000,65,128,0
2,100403,9,10000000,65,128,0
2,100556,12,10000000,65,128,0
2,100708,15,10000000,65,128,0
2,100861,10,10000000,65,128,0
2,101014,12,10000000,65,128,0
2,101166,13,10000000,65,128,0
2,101319,15,10000000,65,128,0
2,101471,11,10000000,65,128,0
2,101624,9,10000000,65,128,0
2,101777,9,10000000,65,128,0
2,101929,9,10000000,65,128,0
2,102082,9,10000000,65,128,0
2,102234,11,10000000,65,128,0
2,102387,5,10000000,65,128,0
2,102540,12,10000000,65,128,0
2,102692,7,10000000,65,128,0
2,102845,9,10000000,65,128,0
2,102997,9,10000000,65,128,0
2,103150,13,10000000,65,128,0
2,103303,8,10000000,65,128,0
2,103455,14,10000000,65,128,0
2,103608,8,10000000,65,128,0
2,103760,10,10000000,65,128,0
2,103913,6,10000000,65,128,0
2,104065,13,10000000,65,128,0
2,104218,10,10000000,65,128,0
2,104371,9,10000000,65,128,0
2,104523,13,10000000,65,128,0
2,104676,12,10000000,65,128,0
2,104828,16,10000000,65,128,0
2,104981,10,10000000,65,128,0
2,105134,13,10000000,65,128,0
2,105286,11,10000000,65,128,0
2,105439,15,10000000,65,128,0
2,105591,10,10000000,65,128,0
2,105744,11,10000000,65,128,0
2,105896,16,10000000,65,128,0
2,106049,13,10000000,65,128,0
2,106202,8,10000000,65,128,0
2,106354,17,10000000,65,128,0
2,106507,12,10000000,65,128,0
2,106659,12,10000000,65,128,0
2,106812,8,10000000,65,128,0
2,106965,12,10000000,65,128,0
2,107117,11,10000000,65,128,0
2,107270,8,10000000,65,128,0
2,107422,12,10000000,65,128,0
2,107575,17,10000000,65,128,0
2,107728,8,10000000,65,128,0
2,107880,11,10000000,65,128,0
2,108033,17,10000000,65,128,0
2,108185,9,10000000,65,128,0
2,108338,4,10000000,65,128,0
2,108490,11,10000000,65,128,0
2,108643,16,10000000,65,128,0
2,108796,14,10000000,65,128,0
2,108948,14,10000000,65,128,0
2,109101,11,10000000,65,128,0
2,109253,9,10000000,65,128,0
2,109406,17,10000000,65,128,0
2,109559,14,10000000,65,128,0
2,109711,14,10000000,65,128,0
2,109864,12,10000000,65,128,0
2,110016,14,10000000,65,128,0
2,110169,11,10000000,65,128,0
2,110322,6,10000000,65,128,0
2,110474,14,10000000,65,128,0
2,110627,8,10000000,65,128,0
2,110779,9,10000000,65,128,0
2,110932,8,10000000,65,128,0
2,111084,13,10000000,65,128,0
2,111237,7,10000000,65,128,0
2,111390,19,10000000,65,128,0
2,111542,10,10000000,65,128,0
2,111695,12,10000000,65,128,0
2,111847,11,10000000,65,128,0
2,112000,7,10000000,65,128,0
2,112153,14,10000000,65,128,0
2,112305,9,10000000,65,128,0
2,112458,13,10000000,65,128,0
2,112610,18,10000000,65,128,0
2,112763,11,10000000,65,128,0
2,112916,8,10000000,65,128,0
2,113068,11,10000000,65,128,0
2,113221,8,10000000,65,128,0
2,113373,4,10000000,65,128,0
2,113526,10,10000000,65,128,0
2,113678,7,10000000,65,128,0
2,113831,7,10000000,65,128,0
2,113984,5,10000000,65,128,0
2,114136,4,10000000,65,128,0
2,114289,9,10000000,65,128,0
2,114441,15,10000000,65,128,0
2,114594,13,10000000,65,128,0
2,114747,10,10000000,65,128,0
2,114899,8,10000000,65,128,0
2,115052,14,10000000,65,128,0
2,115204,7,10000000,65,128,0
2,115357,9,10000000,65,128,0
2,115510,13,10000000,65,128,0
2,115662,19,10000000,65,128,0
